row_id,order_id,customer_id,product_id,sales,quantity,discount,profit,city,state,postal_code,customer_name,segment,region,product_name,category
1,CA-2013-152156,CG-12520,FUR-BO-10001798,261.96,2,0.0,41.9136,Henderson,Kentucky,42420,Claire Gute,Consumer,South,Bush Somerset Collection Bookcase,Furniture
2,CA-2013-152156,CG-12520,FUR-CH-10000454,731.94,3,0.0,219.582,Henderson,Kentucky,42420,Claire Gute,Consumer,South,Hon Deluxe Fabric Upholstered Stacking Chairs/Rounded Back,Furniture
3,CA-2013-138688,DV-13045,OFF-LA-10000240,14.62,2,0.0,6.8714,Los Angeles,California,90036,Darrin Van Huff,Corporate,West,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies
4,US-2012-108966,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031,Fort Lauderdale,Florida,33311,Sean O'Donnell,Consumer,East,Bretford CR4500 Series Slim Rectangular Table,Furniture
5,US-2012-108966,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164,Fort Lauderdale,Florida,33311,Sean O'Donnell,Consumer,East,Eldon Fold 'N Roll Cart System,Office Supplies
6,CA-2011-115812,BH-11710,FUR-FU-10001487,48.86,7,0.0,14.1694,Los Angeles,California,90032,Brosina Hoffman,Consumer,East,Eldon Expressions Wood and Plastic Desk Accessories/Cherry Wood,Furniture
7,CA-2011-115812,BH-11710,OFF-AR-10002833,7.28,4,0.0,1.9656,Los Angeles,California,90032,Brosina Hoffman,Consumer,East,Newell 322,Office Supplies
8,CA-2011-115812,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152,Los Angeles,California,90032,Brosina Hoffman,Consumer,East,Mitel 5320 IP Phone VoIP phone,Technology
9,CA-2011-115812,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825,Los Angeles,California,90032,Brosina Hoffman,Consumer,East,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies
10,CA-2011-115812,BH-11710,OFF-AP-10002892,114.9,5,0.0,34.47,Los Angeles,California,90032,Brosina Hoffman,Consumer,East,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies
11,CA-2011-115812,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092,Los Angeles,California,90032,Brosina Hoffman,Consumer,East,Chromcraft Rectangular Conference Tables,Furniture
12,CA-2011-115812,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568,Los Angeles,California,90032,Brosina Hoffman,Consumer,East,Konftel 250 Conference phone - Charcoal black,Technology
13,CA-2014-114412,AA-10480,OFF-PA-10002365,15.552,3,0.2,5.4432,Concord,North Carolina,28027,Andrew Allen,Consumer,Central,Xerox 1967,Office Supplies
14,CA-2013-161389,IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922,Seattle,Washington,98103,Irene Maddox,Consumer,Central,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies
15,US-2012-118983,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858,Fort Worth,Texas,76106,Harold Pawlan,Home Office,Central,Holmes Replacement Filter for HEPA Air Cleaner/Very Large Room/HEPA Filter,Office Supplies
16,US-2012-118983,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816,Fort Worth,Texas,76106,Harold Pawlan,Home Office,Central,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies
17,CA-2011-105893,PK-19075,OFF-ST-10004186,665.88,6,0.0,13.3176,Madison,Wisconsin,53711,Pete Kriz,Consumer,East,Stur-D-Stor Shelving/Vertical 5-Shelf: 72H x 36W x 18 1/2D,Office Supplies
18,CA-2011-167164,AG-10270,OFF-ST-10000107,55.5,2,0.0,9.99,West Jordan,Utah,84084,Alejandro Grove,Consumer,East,Fellowes Super Stor/Drawer,Office Supplies
19,CA-2011-143336,ZD-21925,OFF-AR-10003056,8.56,2,0.0,2.4824,San Francisco,California,94109,Zuschuss Donatelli,Consumer,Central,Newell 341,Office Supplies
20,CA-2011-143336,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.011,San Francisco,California,94109,Zuschuss Donatelli,Consumer,Central,Cisco SPA 501G IP Phone,Technology
21,CA-2011-143336,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.384,San Francisco,California,94109,Zuschuss Donatelli,Consumer,Central,Wilson Jones Hanging View Binder/White/1,Office Supplies
22,CA-2013-137330,KB-16585,OFF-AR-10000246,19.46,7,0.0,5.0596,Fremont,Nebraska,68025,Ken Black,Corporate,Central,Newell 318,Office Supplies
23,CA-2013-137330,KB-16585,OFF-AP-10001492,60.34,7,0.0,15.6884,Fremont,Nebraska,68025,Ken Black,Corporate,Central,Acco Six-Outlet Power Strip/4' Cord Length,Office Supplies
24,US-2014-156909,SF-20065,FUR-CH-10002774,71.372,2,0.3,-1.0196,Philadelphia,Pennsylvania,19140,Sandra Flanagan,Consumer,South,Global Deluxe Stacking Chair/Gray,Furniture
25,CA-2012-106320,EB-13870,FUR-TA-10000577,1044.63,3,0.0,240.2649,Orem,Utah,84057,Emily Burns,Consumer,South,Bretford CR4500 Series Slim Rectangular Table,Furniture
26,CA-2013-121755,EH-13945,OFF-BI-10001634,11.648,2,0.2,4.2224,Los Angeles,California,90049,Eric Hoffmann,Consumer,West,Wilson Jones Active Use Binders,Office Supplies
27,CA-2013-121755,EH-13945,TEC-AC-10003027,90.57,3,0.0,11.7741,Los Angeles,California,90049,Eric Hoffmann,Consumer,West,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology
28,US-2012-150630,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522,Philadelphia,Pennsylvania,19140,Tracy Blumstein,Consumer,West,Riverside Palais Royal Lawyers Bookcase/Royale Cherry Finish,Furniture
29,US-2012-150630,TB-21520,OFF-BI-10000474,9.618,2,0.7,-7.0532,Philadelphia,Pennsylvania,19140,Tracy Blumstein,Consumer,West,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies
30,US-2012-150630,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.525,Philadelphia,Pennsylvania,19140,Tracy Blumstein,Consumer,West,Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock,Furniture
31,US-2012-150630,TB-21520,OFF-EN-10001509,3.264,2,0.2,1.1016,Philadelphia,Pennsylvania,19140,Tracy Blumstein,Consumer,West,Poly String Tie Envelopes,Office Supplies
2312,US-2014-120418,BC-11125,OFF-AR-10001955,15.872,1,0.2,1.984,Peoria,Arizona,85345,Becky Castell,Home Office,West,Newell 319,Office Supplies
32,US-2012-150630,TB-21520,OFF-AR-10004042,86.304,6,0.2,9.7092,Philadelphia,Pennsylvania,19140,Tracy Blumstein,Consumer,West,BOSTON Model 1800 Electric Pencil Sharpeners/Putty/Woodgrain,Office Supplies
33,US-2012-150630,TB-21520,OFF-BI-10001525,6.858,6,0.7,-5.715,Philadelphia,Pennsylvania,19140,Tracy Blumstein,Consumer,West,Acco Pressboard Covers with Storage Hooks/14 7/8 x 11/Executive Red,Office Supplies
34,US-2012-150630,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.546,Philadelphia,Pennsylvania,19140,Tracy Blumstein,Consumer,West,Lumber Crayons,Office Supplies
35,CA-2014-107727,MA-17560,OFF-PA-10000249,29.472,3,0.2,9.9468,Houston,Texas,77095,Matt Abelman,Home Office,West,Staples,Office Supplies
36,CA-2013-117590,GH-14485,TEC-PH-10004977,1097.544,7,0.2,123.4737,Richardson,Texas,75080,Gene Hale,Corporate,Central,GE 30524EE4,Technology
37,CA-2013-117590,GH-14485,FUR-FU-10003664,190.92,5,0.6,-147.963,Richardson,Texas,75080,Gene Hale,Corporate,Central,Electrix Architect's Clamp-On Swing Arm Lamp/Black,Furniture
38,CA-2012-117415,SN-20710,OFF-EN-10002986,113.328,9,0.2,35.415,Houston,Texas,77041,Steve Nguyen,Home Office,West,#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes,Office Supplies
39,CA-2012-117415,SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764,Houston,Texas,77041,Steve Nguyen,Home Office,West,Atlantic Metals Mobile 3-Shelf Bookcases/Custom Colors,Furniture
40,CA-2012-117415,SN-20710,FUR-CH-10004218,212.058,3,0.3,-15.147,Houston,Texas,77041,Steve Nguyen,Home Office,West,Global Fabric Manager's Chair/Dark Gray,Furniture
41,CA-2012-117415,SN-20710,TEC-PH-10000486,371.168,4,0.2,41.7564,Houston,Texas,77041,Steve Nguyen,Home Office,West,Plantronics HL10 Handset Lifter,Technology
42,CA-2014-120999,LC-16930,TEC-PH-10004093,147.168,4,0.2,16.5564,Naperville,Illinois,60540,Linda Cazamias,Corporate,East,Panasonic Kx-TS550,Technology
43,CA-2013-101343,RA-19885,OFF-ST-10003479,77.88,2,0.0,3.894,Los Angeles,California,90049,Ruben Ausman,Corporate,West,Eldon Base for stackable storage shelf/platinum,Office Supplies
